policy_id	seeded_by	superseded_by	still_live	tracking	note
drop_table_prevention	010_policy_tables.sql	sys_sqli_drop_table,sys_sqli_stacked_drop,sys_sqli_drop_database	yes	#3323 (static half unshipped; its dynamic half landed as migration 160)	Superseded in PATTERN by three narrower 031 rows. NOT superseded in STRENGTH: this row still says block and all three superseders say warn, because migration 067 relaxed sqli by category (WHERE category IN ('security-sqli','sqli')) and this row's category is the pre-canonical 'dangerous_queries', which that clause does not name. Deleting it lowers DROP TABLE from block to warn. #3323's acceptance asks for a per-pair PATTERN test and does not mention the action.
eu_ai_act_high_value_transaction	014_eu_ai_act_templates.sql	-	yes	-	First-class pre-canonical row, not superseded: no 031 row covers high-value-transaction oversight. It is the ONLY require_approval static row in the corpus and it does not reach ADR-065 Escalate, because static_policies stores neither an eligible pool nor a quorum (approval_pool_not_stored).
eu_ai_act_pricing_fairness	014_eu_ai_act_templates.sql	-	yes	-	First-class pre-canonical row, not superseded: no 031 row covers EU AI Act pricing fairness.
eu_ai_act_sustainability_claims	014_eu_ai_act_templates.sql	-	yes	-	First-class pre-canonical row, not superseded: no 031 row covers EU AI Act sustainability claims.
eu_gdpr_credit_card_detection	014_eu_ai_act_templates.sql	-	yes	-	OVERLAPS sys_pii_credit_card but is NOT superseded by it, in either direction. Its pattern carries a bare 13-16 digit alternative the IIN-anchored 031 pattern does not match, and it still says redact while sys_pii_credit_card was relaxed to warn by migration 067's explicit sys_pii_* id list, which does not name this row.
eu_gdpr_cross_border_pii	014_eu_ai_act_templates.sql	-	yes	-	First-class pre-canonical row, not superseded: no 031 row covers cross-border PII transfer.
eu_gdpr_loyalty_number_detection	014_eu_ai_act_templates.sql	-	yes	-	First-class pre-canonical row, not superseded. sys_pii_booking_ref is a narrower booking-reference logger with a different action (log, not redact) and, after migration 074, a booking-context label requirement; it does not cover loyalty, membership or frequent-flyer numbers.
eu_gdpr_passport_detection	014_eu_ai_act_templates.sql	-	yes	-	OVERLAPS sys_pii_passport but is NOT superseded by it. Its pattern adds a labelled "passport: XXXXXX" alternative the 031 pattern does not carry, and it still says redact while sys_pii_passport was relaxed to warn by migration 067.
pii_ssn_detection	010_policy_tables.sql	sys_pii_ssn	yes	#3323 (static half unshipped; its dynamic half landed as migration 160)	Superseded in PATTERN by a narrower 031 row: this row accepts an unseparated 9-digit run, sys_pii_ssn requires a hyphen or space separator. NOT superseded in STRENGTH: redact here, warn on sys_pii_ssn after migration 067, whose PII clause is an explicit sys_pii_* id list that does not name this row.
sql_injection_or	010_policy_tables.sql	sys_sqli_or_true,sys_sqli_or_string	yes	#3323 (static half unshipped; its dynamic half landed as migration 160)	Superseded in PATTERN by two narrower case-insensitive 031 rows. NOT superseded in STRENGTH: block here, warn on both superseders, because migration 067's sqli clause names 'security-sqli' and 'sqli' and this row's category is the pre-canonical 'sql_injection'.
sql_injection_union	010_policy_tables.sql	sys_sqli_union_select,sys_sqli_union_injection	yes	#3323 (static half unshipped; its dynamic half landed as migration 160)	Superseded in PATTERN; this row's own pattern lacks (?i) so it misses UNION SELECT in capitals and is largely inert. NOT superseded in STRENGTH: block here, warn on both superseders, for the same category-spelling reason as sql_injection_or.
truncate_prevention	010_policy_tables.sql	sys_sqli_truncate	yes	#3323 (static half unshipped; its dynamic half landed as migration 160)	Superseded in PATTERN by a narrower 031 row. NOT superseded in STRENGTH: block here, warn on sys_sqli_truncate, because migration 067's sqli clause does not name the pre-canonical 'dangerous_queries' category.
