source_case_id	source_title	source_family	source_result	disposition	adr065_result	semantic_reason	replacement_case_ids	coverage_case_ids	approving_reviewer
EX-01	Clean permit	A Baseline	Permit	kept	ALLOW	The rule is unchanged: one permission matches, no constraint binds. The only difference is expression, not outcome: the budget hold is now a typed quota_reservation obligation attached by a requirement policy rather than an implicit side effect of a ceiling.	-	EX-01	architecture
EX-02	Permissive posture, zero grants	A Baseline	Permit	changed	DENY	ADR-065 owns default deny as a product and security decision and removes the per-tool unmatched=Permit posture. A read-only label is not sufficient reason to fail open, because a read can disclose sensitive data, enumerate authorization structure, or feed a later write. NotApplicable maps to deny in the production profile; the permissive arm survives only as an explicit, action-scoped, time-bound compatibility exception.	AXC-001,AXC-002,AXC-003	EX-02,AXC-001,AXC-002,AXC-003	architecture+security
EX-03	Grants union across groups	A Baseline	Escalate	changed	CHALLENGE	The union-of-permissions point is unchanged and is the reason the case exists. The verdict is not: approval is a stateful requirement rather than a value in the verdict lattice, so the result is a permit carrying an outstanding approval requirement and the operational state is CHALLENGE.	AXC-008	EX-03,AXC-008	architecture+security
EX-04	A restriction group changes the outcome	B Constraints	Escalate	changed	CHALLENGE	The mechanism is unchanged: a group carrying a restriction narrows a request that an identical principal without that group is allowed outright. The verdict form changes for the same reason as EX-03.	-	EX-04	architecture+security
EX-05	A satisfied exception collapses a ceiling	B Constraints	Escalate	changed	CHALLENGE	The exception mechanism is unchanged and still collapses the policy to non-applicable through the same code path as the policy not existing. The verdict form changes for the same reason as EX-03.	-	EX-05	architecture+security
EX-06	Two independent reasons to deny	B Constraints	Deny	kept	DENY	An explicit constraint denies and the trace reports the absent permission as well, so a requester is not sent to fix half the problem. Both halves are asserted.	-	EX-06	architecture
EX-07	Conjunctive ceiling exceeds the meet of its parts	B Constraints	Escalate	changed	CHALLENGE	The arithmetic claim does not survive, because ADR-065 never collapses approval clauses, so there is no meet whose quorum could be bounded by its parts. The claim that survives is the one that mattered: a conjunctive tag selector is load bearing, because it is the only way to make a requirement apply to a PAIR of tags rather than to either tag alone.	AXC-008	EX-07,AXC-008	architecture+security
EX-08	Pool intersection and quorum max	C Approval	Escalate	changed	CHALLENGE	ADR-065 rejects the source meet outright. The conjunction of two threshold clauses is satisfiable by approvers the intersection excludes, so reducing two clauses to one over the intersected pool with the maximum quorum produces denials the policy set does not require. Clauses are retained as a conjunction and deduplicate without flattening pools.	AXC-008	EX-08,AXC-008	architecture+security
EX-09	Disjoint pools are unsatisfiable	C Approval	Deny	changed	CHALLENGE	The denial was an artifact of the collapsing algebra rather than of the policy set: two clauses over disjoint pools are each independently satisfiable. With the collapse removed the request challenges. Whether an eligible pool can actually produce its quorum is a directory fact resolved at discharge time, which ADR-065 does not specify as a decision-time rule; that gap is raised on the ADR pull request rather than resolved here by inventing semantics.	AXC-008	EX-09,AXC-008	architecture+security
EX-10	Pool too small for the quorum	C Approval	Deny	changed	CHALLENGE	Same correction as EX-09. Neither the quorum nor the pool of a clause is adjusted by the presence of another clause, which is asserted directly: the quorum-two clause keeps its quorum and its single declared group.	AXC-008	EX-10,AXC-008	architecture+security
EX-11	Self-exclusion flips a satisfiable escalation	C Approval	Deny	changed	CHALLENGE	Self-approval exclusion is retained as separation_of_duties carried on the composed requirement, not as a decision-time reduction of the eligible pool. Shrinking the pool at decision time would bake a membership snapshot into the challenge, and eligibility has to be rechecked at approval and again immediately before execution in any case.	AXC-008	EX-11,AXC-008	architecture+security
EX-12	Inherited ceiling with a witness path	D Closure	Escalate	changed	CHALLENGE	The witness requirement is unchanged and is asserted through the audience-scoped trace: the operator projection names the inherited group and its source class. The verdict form changes for the same reason as EX-03.	-	EX-12,AXC-246	architecture+security
EX-13	Cyclic group graph terminates correctly	D Closure	Permit	kept	ALLOW	Unchanged. The transitive closure of a cyclic digraph is the reachable set, so a cycle is a correctness non-issue and an operational signal. The case asserts the decision is identical with and without the cycle.	-	EX-13,AXC-240,AXC-266,AXC-275	architecture
EX-14	Truncated closure, posture decides	D Closure	Deny;Permit	changed	ERROR;DENY	Both arms are non-permits under ADR-065. The permissive arm is removed with the per-tool on_error posture. The read-only arm still resolves rather than erroring, but through the Kleene short-circuit rather than through a posture: the action selector is determinately false, so no group-scoped policy could have applied and the unknown closure cannot matter. Group closure enters the evaluator as an ordinary tri-state attribute, so truncation needs no special code path.	AXC-003	EX-14,AXC-003,AXC-242,AXC-244,AXC-245,AXC-249,AXC-265	architecture+security
EX-15	Policy information point down in a grant	E Indeterminacy	Deny	changed	ERROR	The source SKIPPED an unevaluable permission and denied, because routing it through a per-tool on_error posture whose value could be Permit would let an outage increase access. ADR-065 removes that posture, so the honest result is available without risk: an unknown permission is reported as indeterminate and still cannot grant.	AXC-003	EX-15,AXC-003	architecture+security
